,Short,Full,HTTP,Free float [%]
73,CAPTORTX-PDA,CAPTOR THERAPEUTICS-PDA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CAPTORTX-PDA,0
74,CCC,CCC S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CCC,0
75,CCENERGY,Clean & Carbon Energy SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CCENERGY,0
76,CDPROJEKT,CD Projekt SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CDPROJEKT,0
77,CDRL,CDRL S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CDRL,0
78,CELTIC,Celtic Property Developments SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CELTIC,0
79,CEZ,"ČEZ, AS",https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CEZ,0
80,CFI,CFI Holding S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CFI,0
81,CIECH,Ciech SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CIECH,0
82,CIGAMES,CI Games S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CIGAMES,0
83,CITYSERV,City Service SE,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CITYSERV,0
84,CLNPHARMA,Celon Pharma SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CLNPHARMA,0
85,CNT,Centrum Nowoczesnych Technologii SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CNT,0
86,COALENERG,Coal Energy SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=COALENERG,0
87,COGNOR,Cognor SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=COGNOR,0
88,COMARCH,Comarch SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=COMARCH,0
89,COMP,Comp S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=COMP,0
90,COMPERIA,Comperia.pl,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=COMPERIA,0
91,CORMAY,PZ Cormay SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CORMAY,0
92,CPGROUP,Capital Park S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CPGROUP,0
93,CREEPYJAR,Creepy Jar,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CREEPYJAR,0
94,CYFRPLSAT,Cyfrowy Polsat SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CYFRPLSAT,0
95,CZTOREBKA,Czerwona Torebka SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CZTOREBKA,0
96,DADELO,DADELO SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DADELO,0
97,DATAWALK,DataWalk SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DATAWALK,0
98,DEBICA,Firma Oponiarska Dębica SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DEBICA,0
99,DECORA,Decora SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DECORA,0
